cgpa,dsa_score,projects,internships,communication,salary_lpa
9.8,1,0,2,5,9.79
8.9,7,4,0,5,7.69
8.6,45,3,2,6,12.11
7.2,10,0,1,8,5.38
6.4,85,4,1,2,14.43
5.5,51,3,2,6,9.49
9.5,32,3,3,9,13.68
7.3,0,5,1,6,7.55
6.0,48,2,3,3,8.65
6.5,15,2,0,1,6.46
7.9,98,3,1,6,14.9
5.9,29,1,1,8,5.2
9.3,47,0,3,6,10.91
8.8,1,5,0,10,8.9
8.6,13,1,1,7,5.66
7.2,20,3,1,6,6.74
8.1,5,1,3,1,9.19
7.9,73,1,1,6,11.17
8.2,95,3,3,2,16.82
5.4,99,4,2,8,9.79
7.1,26,2,2,2,8.42
5.2,79,0,3,10,9.5
7.5,50,1,0,4,7.51
6.6,4,0,1,5,3.82
5.7,9,5,2,2,5.89
5.5,55,1,0,3,2.79
7.9,42,2,0,10,11.07
5.9,0,0,0,3,2.5
9.6,93,2,3,6,16.74
7.9,73,5,2,10,14.14
6.7,50,2,1,7,6.83
8.0,99,3,2,1,15.37
5.1,98,1,2,4,12.74
9.8,98,0,3,4,16.43
7.4,26,4,3,3,8.1
8.9,88,0,3,3,14.4
5.4,50,2,0,6,6.53
7.4,73,1,3,4,13.17
7.5,86,0,1,3,11.77
9.7,16,3,1,5,6.05
7.9,45,5,2,4,13.33
7.4,13,0,2,3,4.11
6.3,28,4,1,5,5.81
6.7,41,3,3,10,10.49
7.6,86,4,0,6,14.26
7.2,87,0,0,6,7.88
5.1,39,5,0,10,9.16
9.1,33,0,3,7,11.69
9.5,53,5,1,3,14.42
5.7,92,3,1,4,10.08
7.8,98,2,2,5,13.09
5.5,22,0,1,5,5.13
8.4,18,3,2,2,7.01
6.4,71,0,0,2,9.1
8.3,30,3,0,4,8.84
8.6,20,4,3,10,12.07
8.8,3,1,1,8,4.81
5.5,40,1,0,9,5.44
9.6,39,1,1,2,11.27
6.2,56,1,1,5,5.87
5.2,20,0,1,6,3.95
7.8,72,1,1,5,11.27
6.9,68,3,2,5,10.82
9.1,46,1,0,4,11.19
9.0,18,4,1,1,6.65
6.6,51,4,1,9,11.23
9.8,68,4,2,10,19.28
6.5,37,3,3,1,11.07
7.6,26,1,3,5,9.14
6.3,51,5,1,6,10.17
9.7,35,1,2,8,10.72
5.8,40,2,0,10,6.45
5.2,35,2,2,5,7.15
7.2,30,4,0,8,7.8
10.0,72,3,0,10,16.53
9.5,46,4,2,9,17.79
8.7,47,5,0,3,12.13
9.5,65,2,1,9,11.99
9.5,36,5,0,5,10.63
7.6,10,1,2,1,7.22
6.6,86,5,3,8,15.27
8.9,5,1,2,9,9.76
8.3,57,5,3,4,13.81
6.9,26,2,1,5,8.34
5.5,21,5,0,4,6.08
8.7,4,0,0,2,3.99
6.3,90,2,0,10,10.87
9.7,43,5,0,1,11.08
6.2,34,0,1,6,8.54
5.6,74,1,0,1,7.17
9.2,3,0,2,7,8.62
5.8,57,1,0,10,6.72
5.9,49,2,2,7,7.02
8.0,55,3,1,7,11.42
9.4,12,1,2,9,11.28
6.0,96,0,2,10,10.65
6.6,24,1,3,9,6.42
8.9,68,5,1,3,15.02
9.9,75,5,1,6,17.77
7.5,34,1,2,9,11.45
5.7,13,1,2,3,4.74
5.1,29,0,1,7,4.9
6.1,81,5,2,1,13.75
5.7,91,4,1,9,11.02
8.4,94,4,1,7,14.63
5.6,22,1,1,8,3.24
7.5,61,3,3,9,11.21
8.5,15,0,2,3,8.34
7.9,71,4,0,5,13.13
6.0,42,3,3,9,9.95
9.0,72,1,2,2,8.96
8.6,69,4,0,9,17.07
8.7,100,3,2,3,14.93
5.7,49,2,2,6,11.29
5.6,34,1,3,6,4.65
9.6,53,0,1,7,10.24
7.0,16,5,2,9,6.52
6.5,11,1,1,4,5.09
7.4,52,1,1,2,6.97
8.3,83,4,2,5,13.83
9.8,53,1,3,7,11.66
6.4,78,2,3,8,13.48
9.6,17,4,3,8,14.0
5.1,45,3,2,4,10.29
7.8,61,3,2,10,12.05
8.2,35,0,1,1,7.74
5.5,1,2,3,2,2.5
5.7,7,2,1,1,3.02
7.1,93,3,1,10,13.3
9.8,61,0,3,2,13.61
8.0,26,0,2,7,9.5
9.7,26,4,1,9,14.1
9.0,3,4,3,8,9.81
7.3,95,4,3,10,18.01
8.9,10,1,1,1,6.97
5.1,76,5,2,5,11.12
5.5,24,1,1,6,3.55
9.1,33,3,2,7,11.22
9.0,27,0,3,7,12.56
6.2,83,5,2,6,14.14
7.7,3,1,3,4,6.98
8.0,35,4,2,2,10.45
9.3,28,1,3,5,14.5
8.0,27,4,1,3,11.66
7.1,19,2,1,6,5.86
6.9,92,0,1,8,10.89
7.1,38,1,3,6,8.7
8.3,42,4,2,6,12.56
9.3,38,1,0,1,8.05
7.3,99,1,0,7,12.94
6.2,34,3,2,5,10.4
6.2,34,1,3,2,5.03
8.7,33,0,1,3,6.48
9.1,33,3,2,8,11.48
5.5,9,4,3,10,6.81
5.3,61,4,2,6,13.09
8.0,2,5,3,10,12.26
5.7,22,0,2,2,5.47
9.1,20,2,2,3,9.34
6.6,29,1,3,10,7.83
5.7,76,5,2,2,9.75
9.6,60,3,0,7,14.69
5.8,100,0,1,3,10.58
6.4,35,4,0,4,9.76
5.8,93,0,2,5,9.91
5.6,4,1,0,4,2.5
5.1,50,4,2,9,9.67
5.3,80,3,1,10,12.14
5.9,53,4,0,6,6.71
5.3,94,3,0,6,11.79
8.0,31,5,2,1,11.07
8.4,3,3,0,3,5.35
7.0,78,0,3,1,7.49
6.6,6,0,3,9,5.37
7.5,77,4,2,3,15.85
9.4,74,0,0,4,14.29
9.3,85,2,3,9,17.17
5.2,48,0,2,8,9.3
5.9,90,1,1,7,10.41
6.2,17,3,0,1,6.43
6.2,43,1,2,6,6.96
7.9,12,2,3,6,7.91
7.1,77,5,0,4,11.73
5.2,72,0,0,8,3.86
6.9,81,0,1,10,12.65
7.6,77,1,2,3,10.68
5.5,31,4,1,4,5.84
9.2,6,2,1,4,6.48
5.3,93,3,1,9,11.38
9.6,49,0,0,1,12.27
5.5,9,4,0,9,8.51
9.2,93,0,0,8,11.12
9.5,100,4,2,5,17.75
9.9,44,0,3,6,10.72
9.0,77,5,1,9,17.97
8.9,3,1,0,8,7.27
8.2,9,1,1,3,5.42
8.9,27,2,3,1,10.51
5.7,66,0,0,7,6.24
7.7,13,0,1,2,7.62
7.6,3,3,2,1,7.77
9.3,67,1,1,10,14.34
7.3,77,2,1,5,7.63
6.9,74,4,1,7,12.52
8.2,80,0,1,3,14.38
6.3,81,2,2,2,12.9
5.7,60,1,2,1,4.86
7.4,52,2,0,4,8.51
7.1,86,1,0,1,8.34
6.2,35,0,1,5,8.06
6.8,9,0,3,4,5.71
6.8,75,5,0,6,11.35
6.6,27,0,0,6,4.91
6.9,98,4,2,4,10.82
8.4,41,5,1,5,10.69
6.5,86,2,0,1,10.16
9.7,4,1,0,4,8.61
9.6,66,4,2,10,13.53
7.4,45,5,2,10,12.18
6.6,46,0,2,5,9.03
7.7,26,5,1,10,8.8
9.2,98,5,2,6,18.96
8.3,39,0,3,2,9.4
9.0,85,0,1,9,16.09
7.7,42,4,1,5,10.46
8.2,4,0,0,7,4.93
6.4,88,3,2,7,14.31
8.7,18,0,0,4,4.49
6.0,27,4,0,8,6.94
8.5,86,1,2,6,13.23
9.3,90,0,0,4,12.71
5.7,92,0,3,3,11.65
8.1,43,1,1,8,10.48
5.5,76,3,1,3,8.6
8.6,33,0,2,2,8.76
5.4,74,4,2,9,13.92
9.7,50,3,1,4,11.82
5.7,5,1,3,7,5.02
9.8,42,5,3,8,15.59
9.0,47,3,0,9,11.93
8.0,25,4,2,7,8.33
8.9,37,1,1,8,12.3
9.0,50,4,3,9,13.77
9.7,5,3,1,10,11.92
6.3,15,5,1,1,6.13
8.0,77,2,2,8,12.65
5.5,35,4,3,2,10.18
8.1,61,2,0,9,12.78
5.9,57,0,2,1,7.24
7.8,55,0,1,3,9.93
7.9,41,5,2,2,11.48
7.3,48,4,2,7,11.7
7.6,83,2,3,1,12.2
8.8,97,4,3,1,18.6
9.0,25,0,2,6,7.96
7.5,67,0,2,10,13.25
8.0,97,3,3,6,15.77
9.7,0,3,0,5,8.64
5.6,79,5,2,7,13.9
5.6,50,4,3,6,10.29
5.4,97,1,0,4,8.87
8.3,58,4,3,6,14.21
7.1,84,2,2,1,13.34
8.9,16,4,1,3,8.96
8.4,14,1,1,7,7.4
6.7,93,0,1,4,10.57
9.5,53,0,3,1,13.06
8.8,56,5,3,2,14.72
6.4,17,0,3,9,8.91
6.8,22,5,2,4,9.09
6.6,82,4,0,1,11.0
5.8,30,0,3,8,6.07
5.7,59,5,0,6,7.88
9.7,31,0,0,5,7.35
7.2,26,0,0,9,5.16
6.9,16,3,3,4,9.89
8.6,93,1,1,6,13.89
7.8,94,1,0,8,11.93
9.7,11,1,0,7,10.17
8.9,35,3,1,3,13.07
7.4,56,0,2,7,11.47
6.9,38,1,3,8,7.78
9.9,72,3,2,2,14.67
8.6,26,2,2,2,12.16
9.8,5,4,3,7,12.45
5.6,34,1,3,2,5.85
9.3,60,3,1,9,15.16
8.2,18,4,3,2,11.91
5.6,82,2,2,10,10.41
7.9,1,1,3,7,7.57
8.4,6,3,0,5,8.85
5.1,51,3,0,3,4.86
7.3,51,0,3,4,9.31
9.1,29,3,2,8,10.22
6.5,26,0,0,8,3.46
7.3,7,3,3,3,6.98
7.2,66,5,0,6,13.0
6.5,38,3,2,10,9.15
9.6,11,4,0,3,8.82
8.9,40,1,0,7,9.7
5.6,94,5,3,2,12.15
10.0,26,4,3,9,14.93
9.4,90,5,0,2,18.05
6.4,26,4,0,3,6.85
9.2,18,3,2,5,10.41
5.5,26,3,0,4,5.83
10.0,32,5,2,2,10.78
8.3,12,5,3,7,12.29
8.3,59,2,3,1,16.83
5.5,33,0,0,10,4.35
9.5,72,0,0,1,11.13
5.1,49,1,2,4,7.56
6.2,44,0,0,10,8.74
5.7,47,1,2,2,8.21
8.9,15,0,1,1,3.48
6.0,72,5,2,8,13.69
9.6,10,0,0,1,10.4
8.3,72,3,3,9,16.01
5.2,100,2,2,5,9.74
5.0,77,1,0,9,8.38
5.3,45,4,1,3,5.83
8.0,31,5,0,2,11.79
9.0,88,4,1,10,15.35
6.2,25,5,1,8,8.85
9.2,48,3,0,10,11.22
5.3,77,4,2,4,10.25
9.0,93,0,2,5,16.45
9.6,93,5,0,6,17.57
8.9,8,4,0,5,8.13
8.5,90,1,0,3,10.78
9.2,11,2,2,4,6.48
5.2,59,3,1,7,6.71
6.0,93,0,0,1,8.76
5.6,66,4,0,4,10.75
7.5,95,1,3,3,12.75
8.7,34,0,1,1,10.32
8.2,31,1,2,2,7.54
9.3,32,5,1,5,12.37
5.8,35,1,0,2,3.01
8.7,68,3,1,4,14.73
6.0,45,4,0,6,11.55
6.4,74,0,2,9,7.41
8.5,42,4,1,1,10.7
9.9,31,1,1,5,12.42
8.1,19,4,0,2,6.23
5.3,55,1,3,5,8.82
8.1,90,0,0,5,13.39
5.2,86,4,2,8,12.35
9.4,25,4,3,5,13.71
8.5,48,5,2,10,17.01
5.9,71,4,2,2,13.98
5.5,61,2,3,1,8.74
5.9,6,1,0,1,2.5
9.9,59,1,3,4,12.51
7.3,3,3,2,2,8.18
8.9,11,2,1,1,5.78
8.2,66,2,1,3,11.21
7.9,10,1,2,10,7.89
5.7,34,2,3,9,7.35
9.7,59,1,2,1,12.98
6.5,66,0,0,10,12.24
7.9,45,0,1,3,7.94
8.5,9,3,2,5,8.47
8.2,80,2,1,4,14.37
9.7,95,0,3,5,16.27
5.7,89,3,2,8,14.54
7.5,75,0,0,8,10.31
7.0,40,0,2,6,7.31
7.4,88,0,0,7,8.14
5.6,49,2,1,8,5.29
5.7,13,5,1,2,3.54
6.4,85,1,3,4,12.14
6.5,32,1,3,2,5.17
7.1,94,1,1,8,14.32
8.1,37,2,2,5,10.16
8.2,87,4,2,7,15.55
7.1,54,1,2,6,8.37
7.0,47,3,2,3,10.9
6.1,29,5,3,2,8.15
7.9,84,5,3,10,15.63
6.6,6,3,3,3,8.66
5.2,47,4,0,2,7.52
7.1,37,5,1,4,9.88
7.4,54,4,1,10,13.06
6.1,25,1,2,3,5.67
7.9,67,0,2,10,12.09
7.8,38,0,2,5,7.15
8.5,19,5,1,9,14.39
8.2,19,3,1,7,8.31
8.3,70,1,1,1,13.36
6.6,26,2,3,6,7.88
8.9,31,1,1,5,10.48
7.7,63,4,0,3,12.62
7.2,33,3,3,6,11.91
8.1,39,5,0,2,9.44
6.8,24,1,2,7,8.65
7.6,34,2,3,9,13.25
8.7,69,0,1,1,10.34
9.4,53,5,1,5,14.57
9.6,100,3,1,7,16.54
7.5,77,3,0,1,10.85
7.6,1,2,0,4,7.77
9.0,38,1,0,3,7.5
6.6,29,5,1,1,7.13
9.2,59,2,2,9,16.22
7.5,26,4,0,5,9.57
5.6,97,0,3,8,14.55
5.4,30,1,2,6,4.94
9.2,52,4,0,9,13.58
5.3,12,0,3,10,3.58
6.4,91,0,0,7,10.02
6.7,92,4,2,4,11.35
5.9,80,1,1,5,10.42
6.6,35,1,2,9,8.43
8.7,5,3,3,5,9.62
5.1,71,1,3,6,8.54
9.1,43,0,1,2,7.97
9.3,100,0,2,10,16.97
6.9,70,0,3,7,8.97
5.8,54,0,2,4,7.77
8.0,99,4,3,6,20.23
5.6,80,1,1,5,11.25
6.8,46,0,1,2,4.42
9.8,1,0,2,9,7.73
10.0,9,2,3,9,12.14
8.9,44,5,3,9,14.95
6.6,56,2,2,4,7.5
8.4,3,0,2,3,6.65
8.5,12,1,2,1,7.33
6.9,71,2,1,8,13.96
8.2,75,1,1,4,11.35
5.1,3,5,1,9,7.52
6.0,51,4,3,9,9.36
7.6,8,2,2,2,5.22
5.8,73,5,3,10,14.7
5.8,84,1,0,2,10.13
9.2,87,0,3,5,13.21
9.9,60,5,2,5,16.38
7.8,63,5,3,10,13.25
9.2,93,1,1,7,14.56
10.0,61,3,1,9,16.29
5.7,45,1,0,6,5.22
7.2,76,3,3,9,13.65
7.0,59,4,2,9,10.8
5.4,85,4,3,9,12.23
8.8,52,3,0,5,14.23
7.2,87,4,0,4,13.05
7.3,4,3,3,10,7.1
5.8,3,4,0,8,4.66
5.9,10,1,2,10,2.84
9.5,56,2,1,6,11.34
5.2,71,2,3,10,12.59
6.2,21,3,3,8,8.07
6.5,15,0,3,8,8.86
7.5,86,1,1,2,11.29
7.9,75,5,2,6,15.12
7.5,65,0,2,8,11.53
5.4,49,3,3,8,5.48
6.2,42,3,0,10,8.59
9.2,2,2,3,4,9.16
8.2,18,0,1,4,8.73
8.2,90,0,0,10,13.86
8.4,34,1,2,10,8.56
8.8,71,0,3,2,14.32
5.3,71,0,0,4,6.02
6.8,31,0,0,10,4.64
7.7,20,1,3,2,8.07
6.7,69,5,3,8,13.83
9.2,9,3,0,2,10.57
7.4,49,0,3,2,9.48
8.8,89,3,3,8,17.21
9.3,71,0,3,7,15.15
7.5,77,2,0,6,13.01
9.5,8,0,2,9,9.89
7.9,20,0,3,4,9.72
9.3,27,0,3,6,11.09
6.7,29,2,2,7,8.27
7.5,19,2,0,8,8.94
7.7,98,2,0,4,12.85
5.5,16,3,1,7,5.62
7.0,71,4,0,5,14.15
9.6,59,4,0,6,16.45
8.2,61,3,0,9,12.12
5.9,21,3,3,4,6.65
6.7,31,2,2,7,10.38
6.0,61,1,2,10,10.59
5.1,30,2,3,8,7.37
9.6,70,0,1,10,12.75
7.2,3,5,1,6,8.46
6.5,7,2,0,3,4.12
8.0,73,4,1,10,13.35
5.0,62,5,0,7,9.56
6.4,4,2,2,3,5.49
8.5,90,5,3,4,16.91
8.2,0,2,2,3,8.38
9.9,96,0,1,9,17.45
8.1,73,0,2,1,12.4
7.4,99,0,3,8,13.37
8.8,95,5,1,6,18.36
9.5,31,2,1,1,10.28
8.6,76,1,2,7,11.54
9.8,21,2,0,8,11.12
8.9,47,1,3,8,12.49
9.3,24,5,1,6,16.13
5.6,49,5,1,4,11.49
8.7,88,0,2,2,14.09
7.2,44,4,0,1,9.48
7.8,9,2,0,4,6.33
8.3,32,0,0,7,6.01
9.8,79,5,1,1,13.88
9.9,52,0,2,10,11.52
6.4,56,1,0,6,7.54
8.7,43,0,1,3,5.8
8.7,29,2,3,10,10.79
6.7,60,3,3,2,10.75
5.6,63,1,0,10,7.42
5.2,90,0,2,3,7.96
8.9,62,0,0,4,9.69
7.4,100,5,2,5,18.96
9.9,83,4,3,10,19.81
7.3,7,5,3,3,8.43
9.9,39,3,0,10,12.56
7.1,38,3,1,4,8.83
9.0,0,4,3,3,8.97
5.4,18,3,3,7,5.74
7.8,76,2,1,7,13.98
9.0,35,1,0,4,8.29
9.6,14,2,1,2,7.45
9.1,29,0,2,4,9.08
5.2,27,1,1,6,4.65
6.9,17,4,3,1,5.59
5.2,10,5,3,1,6.53
5.5,77,0,3,10,11.26
8.4,83,0,0,1,11.48
8.6,50,0,3,5,14.32
8.9,62,4,3,8,17.49
9.3,92,1,1,4,16.62
8.7,85,1,2,5,18.14
9.0,3,0,3,1,8.32
5.2,96,5,3,8,14.64
6.2,6,2,2,7,7.04
8.1,2,4,0,9,7.23
9.3,40,4,2,9,14.03
5.0,75,0,2,4,6.69
7.6,8,4,0,1,7.36
8.4,29,3,3,4,10.11
5.1,26,3,0,2,3.45
7.0,40,1,3,6,9.67
9.5,99,5,2,2,18.28
8.4,33,5,1,10,9.52
6.2,21,2,0,7,3.28
9.3,12,0,0,3,4.89
6.7,20,5,2,10,8.58
9.3,13,5,1,8,12.28
6.5,57,3,3,5,11.39
8.0,42,3,0,2,10.97
7.0,50,1,3,4,10.68
6.4,84,0,3,6,12.67
9.4,58,5,0,8,15.61
5.9,15,2,2,3,5.65
5.4,38,1,3,8,8.83
6.7,31,4,1,3,9.77
8.6,83,0,0,3,11.91
9.0,31,0,3,5,11.88
10.0,13,1,1,2,5.27
6.5,74,2,0,5,9.3
7.0,43,2,3,4,9.26
5.7,9,1,2,3,5.62
7.9,69,2,0,8,13.88
10.0,21,2,1,4,8.26
8.5,87,3,0,7,16.39
8.0,84,3,3,8,13.75
7.0,37,5,0,7,8.18
9.6,56,4,3,3,14.94
7.5,57,1,2,9,10.33
5.7,65,5,2,3,8.86
6.8,6,3,3,3,8.1
5.3,32,1,3,9,7.75
6.0,17,2,0,4,6.05
5.1,70,4,0,7,8.75
7.3,6,4,0,1,6.17
8.2,52,2,2,7,11.67
6.7,73,0,2,9,12.88
7.1,95,1,0,8,7.61
9.8,29,0,0,6,7.58
8.8,0,4,2,9,10.09
7.7,73,3,2,3,11.26
6.4,0,2,1,4,3.89
9.5,6,4,3,1,10.74
6.2,100,4,3,7,14.11
6.6,87,4,3,8,14.81
9.5,71,0,1,8,13.84
7.6,84,3,3,8,14.65
8.7,7,5,2,2,9.54
8.0,8,4,2,7,9.18
8.3,30,1,1,8,8.86
6.5,2,2,3,3,3.1
6.2,89,5,2,5,14.7
6.6,5,0,0,10,3.02
5.8,54,3,3,5,11.85
9.4,86,0,0,8,14.19
6.4,74,5,2,6,14.97
7.8,23,0,2,7,5.97
9.0,47,0,2,7,10.32
8.9,55,1,0,7,8.94
7.2,77,1,1,8,10.16
7.4,43,2,3,10,12.97
10.0,28,1,0,3,11.7
8.4,80,2,2,10,12.89
9.1,89,3,3,7,16.45
9.5,49,3,3,6,14.21
8.9,2,5,2,4,11.24
5.9,50,2,1,5,5.1
7.8,89,3,2,7,12.45
5.5,99,4,1,4,13.14
8.3,40,1,2,3,6.67
9.8,15,4,2,9,11.85
7.6,57,5,2,5,13.47
7.2,83,1,0,7,11.52
5.2,95,1,3,1,10.21
9.8,5,2,2,1,8.59
5.5,29,1,3,9,8.01
5.2,48,3,2,2,8.07
6.2,9,5,3,8,7.8
5.3,89,3,3,10,12.87
7.3,11,0,3,5,6.85
7.6,67,1,2,9,14.3
6.6,92,4,2,5,15.21
5.3,69,1,0,10,9.67
5.6,77,3,1,3,9.02
6.9,26,4,1,5,7.75
5.3,83,1,3,4,9.68
8.5,42,3,2,8,11.95
6.0,6,2,1,1,2.5
6.5,37,0,0,9,7.85
7.0,35,2,2,1,9.33
7.1,52,2,1,4,8.8
5.0,26,0,0,6,3.74
5.6,46,5,1,2,9.11
9.3,43,3,3,5,14.54
5.0,33,0,0,10,2.5
7.5,70,5,1,9,13.84
7.4,30,5,2,1,10.18
6.7,77,0,0,6,9.87
7.2,25,0,0,6,4.5
8.9,87,2,3,1,11.39
9.2,36,3,2,7,10.8
6.3,4,4,0,6,5.45
6.6,15,2,0,7,5.59
6.2,81,3,1,3,13.52
7.4,88,0,2,3,12.42
8.4,21,3,2,8,10.5
6.1,60,5,0,8,10.68
6.7,58,3,2,2,11.97
9.7,13,2,3,3,9.7
5.2,45,1,0,6,5.04
7.3,70,5,0,9,11.53
8.6,97,0,3,3,16.53
5.8,85,1,2,3,10.61
5.2,9,0,3,9,3.01
5.7,23,5,1,7,7.64
9.6,44,2,1,10,13.38
5.0,15,5,0,8,5.42
5.9,57,3,0,10,8.29
5.2,0,3,1,2,2.5
5.6,11,3,0,3,4.58
8.1,4,1,3,3,6.61
6.2,29,3,2,1,6.57
7.8,76,4,3,8,13.34
8.0,17,5,2,7,10.98
9.2,99,3,1,1,15.61
5.0,27,5,2,2,6.69
9.3,4,5,0,2,9.73
8.1,33,3,3,5,12.29
5.8,75,2,2,5,11.3
8.9,10,0,0,3,6.78
9.3,7,1,2,10,8.89
6.3,85,5,2,3,12.68
9.6,59,0,0,6,9.57
7.3,34,2,0,5,6.69
8.0,76,4,3,4,15.05
9.9,85,1,1,9,14.19
6.8,36,5,2,10,11.44
9.1,56,3,0,1,10.26
6.6,1,0,2,5,2.5
9.0,30,1,0,2,9.46
8.0,60,4,1,5,11.89
6.1,19,5,2,7,7.39
7.1,100,5,1,5,13.71
6.6,98,5,2,4,15.71
5.4,26,0,0,4,5.05
5.1,40,4,1,3,6.5
6.7,19,0,3,4,5.69
5.1,50,0,1,4,6.77
5.8,12,4,0,7,2.98
8.6,39,2,3,1,13.92
8.5,56,3,3,1,16.58
8.7,61,5,2,6,11.01
6.6,60,0,3,7,9.41
9.5,22,3,3,3,10.68
8.0,80,5,2,3,14.86
5.6,69,2,2,7,9.18
5.7,76,3,0,4,10.69
8.5,47,2,2,8,11.67
5.9,90,5,1,2,11.26
7.5,39,0,3,2,8.04
10.0,81,5,1,6,18.39
5.0,20,4,3,4,5.07
5.1,24,4,2,8,4.74
10.0,53,2,2,6,16.89
7.9,56,3,3,4,11.63
5.6,75,2,1,2,8.7
9.5,30,1,1,2,8.91
9.4,88,5,1,8,18.54
7.7,33,3,3,3,13.04
8.1,53,4,3,6,14.48
6.4,94,0,0,9,8.05
5.3,54,4,1,9,7.25
8.0,68,3,1,3,11.62
6.5,91,5,2,2,13.71
8.3,98,0,0,8,10.3
9.2,50,3,2,7,14.76
5.1,42,3,2,4,5.71
8.0,19,3,0,6,10.37
6.2,54,0,0,2,8.64
9.4,92,2,2,8,16.15
6.3,49,1,1,8,8.54
8.1,35,3,3,3,9.19
7.8,10,1,3,5,8.47
7.0,39,2,3,4,8.66
8.4,23,3,2,1,7.9
8.6,98,0,3,2,13.9
7.8,53,4,0,10,11.17
8.8,13,4,1,5,9.4
9.9,6,0,0,2,8.17
7.1,85,0,2,1,9.46
7.6,94,5,2,4,18.61
5.1,77,1,1,10,6.89
9.0,12,5,1,4,13.05
7.6,9,2,2,10,6.48
7.0,19,2,0,5,6.02
5.5,75,1,2,8,8.85
9.4,77,3,2,8,15.54
7.0,84,0,0,1,10.34
8.4,9,2,0,1,8.65
5.7,15,2,1,10,7.24
9.8,90,0,2,10,15.1
5.9,93,2,1,2,10.98
6.0,73,3,1,7,9.52
9.3,10,4,2,10,10.16
9.6,6,0,0,10,5.8
6.1,5,5,2,3,6.3
7.3,69,5,0,9,13.46
8.7,85,4,0,7,12.22
9.4,63,5,0,10,15.31
6.9,26,2,1,2,8.94
7.6,76,4,0,7,14.68
8.7,5,4,3,1,8.97
8.7,83,3,1,4,12.33
8.9,90,1,3,1,15.34
7.8,72,3,3,5,10.4
5.5,88,5,3,9,15.95
9.5,59,5,3,7,16.38
9.3,47,2,0,4,13.71
9.0,32,1,1,5,6.89
5.5,93,4,2,4,13.96
6.0,70,0,2,8,8.94
8.7,19,0,0,3,5.92
